Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
CENPL	ENSG00000120334.15	1.820	0.340	1.073	8.02e-41
CENPM	ENSG00000100162.14	5.970	0.330	2.390	8.75e-58
CENPN	ENSG00000166451.13	6.100	2.080	1.205	4.90e-38
CENPU	ENSG00000151725.11	4.690	0.885	1.594	4.48e-42
CENPW	ENSG00000203760.8	8.100	1.100	2.115	3.78e-62
CEP131	ENSG00000141577.13	5.980	2.185	1.132	3.42e-49
CES3	ENSG00000172828.12	7.320	16.224	-1.050	1.23e-13
CES4A	ENSG00000172824.14	1.930	10.081	-1.919	1.34e-22
CETN2	ENSG00000147400.8	20.930	9.260	1.096	3.54e-44
CFHR3	ENSG00000116785.13	33.541	174.664	-2.346	3.33e-15
CFL1	ENSG00000172757.12	437.093	184.272	1.242	1.62e-54
CFP	ENSG00000126759.12	2.320	8.934	-1.581	3.12e-36
CGREF1	ENSG00000138028.14	9.800	4.105	1.081	7.12e-12
CH17-13I23.3	ENSG00000277702.1	1.300	0.105	1.058	2.82e-10
CH17-340M24.3	ENSG00000197180.2	9.380	4.110	1.022	8.62e-42
CHAF1A	ENSG00000167670.15	5.120	1.390	1.357	4.33e-53
CHCHD3	ENSG00000106554.11	24.450	10.515	1.144	7.26e-34
CHCHD6	ENSG00000159685.10	8.610	3.590	1.066	5.59e-48
CHEK1	ENSG00000149554.12	2.380	0.480	1.191	1.77e-38
CHMP2A	ENSG00000130724.8	166.352	74.886	1.141	3.08e-69
CHMP4B	ENSG00000101421.3	57.181	27.285	1.041	1.47e-42
CHRD	ENSG00000090539.15	9.550	72.098	-2.793	1.16e-30
CHRNA4	ENSG00000101204.15	0.330	12.095	-3.300	9.74e-29
CHST4	ENSG00000140835.9	0.030	1.585	-1.327	1.28e-18
CIDEB	ENSG00000136305.11	62.721	137.997	-1.125	1.22e-23
CITED2	ENSG00000164442.9	16.549	36.750	-1.105	3.51e-15
CKAP2	ENSG00000136108.14	3.090	0.855	1.141	2.09e-33
CKAP4	ENSG00000136026.13	32.450	11.110	1.466	9.61e-39
CKB	ENSG00000166165.12	26.379	10.115	1.301	4.73e-13
CKLF	ENSG00000217555.12	29.829	9.115	1.608	2.26e-62
CKS1B	ENSG00000173207.12	71.878	24.695	1.504	3.76e-61
CKS1BP3	ENSG00000268942.2	5.440	0.475	2.126	1.92e-51
CKS2	ENSG00000123975.4	31.349	8.620	1.750	3.56e-45
CLASRP	ENSG00000104859.14	20.340	45.469	-1.123	2.99e-3
CLDN10	ENSG00000134873.9	0.100	1.760	-1.327	6.13e-6
CLDN15	ENSG00000106404.13	24.411	8.805	1.374	1.73e-16
CLDN2	ENSG00000165376.10	5.480	16.855	-1.462	1.92e-5
CLDN7	ENSG00000181885.18	35.240	14.474	1.228	2.16e-8
CLEC14A	ENSG00000176435.6	7.720	3.055	1.105	1.10e-24
CLEC1B	ENSG00000165682.14	0.030	8.658	-3.229	1.07e-97
CLEC4G	ENSG00000182566.12	0.120	23.634	-4.459	5.34e-114
CLEC4M	ENSG00000104938.16	0.020	18.949	-4.290	1.36e-146
CLGN	ENSG00000153132.12	2.200	0.600	1.000	5.64e-11
CLIC1	ENSG00000213719.8	143.867	43.331	1.708	1.91e-47
CLN6	ENSG00000128973.11	19.690	9.180	1.023	2.95e-51
CLRN3	ENSG00000180745.4	4.000	14.575	-1.639	1.60e-12
CLTA	ENSG00000122705.16	122.402	57.029	1.089	1.99e-50
CMSS1	ENSG00000184220.10	13.650	5.695	1.130	5.50e-47
CMTM7	ENSG00000153551.13	8.100	3.550	1.000	1.06e-15
CNDP1	ENSG00000150656.14	0.490	17.989	-3.672	1.82e-56
CNIH4	ENSG00000143771.11	32.810	10.014	1.618	1.20e-64
CNPY2	ENSG00000257727.5	165.673	75.695	1.120	4.93e-71
CNTFR	ENSG00000122756.14	0.490	3.555	-1.612	1.21e-6
CNTN3	ENSG00000113805.8	0.080	2.035	-1.491	2.99e-40
COA3	ENSG00000183978.7	130.119	62.989	1.035	3.77e-45
COA6	ENSG00000168275.14	53.471	13.715	1.888	2.18e-88
COCH	ENSG00000100473.15	1.420	0.180	1.036	1.03e-21
COL15A1	ENSG00000204291.10	3.030	0.170	1.784	4.85e-52
COL1A1	ENSG00000108821.13	28.300	10.504	1.349	2.14e-9
COL1A2	ENSG00000164692.17	29.910	12.124	1.236	1.68e-9
COL27A1	ENSG00000196739.14	6.030	16.685	-1.331	4.27e-10
COL4A1	ENSG00000187498.14	26.299	4.465	2.321	3.62e-43
COL4A2	ENSG00000134871.17	30.359	7.015	1.968	1.19e-37
COLEC10	ENSG00000184374.2	0.390	12.865	-3.318	1.21e-96
COLEC11	ENSG00000118004.17	18.710	53.509	-1.468	2.49e-20
COMMD4	ENSG00000140365.15	110.170	35.546	1.605	1.73e-97
COMMD5	ENSG00000170619.9	24.380	9.165	1.320	5.36e-65
COPA	ENSG00000122218.14	47.009	19.744	1.211	6.92e-30
COPG2	ENSG00000158623.14	6.000	2.180	1.138	8.90e-34
COPS6	ENSG00000168090.9	83.707	38.084	1.116	9.69e-69
COPZ1	ENSG00000111481.9	81.882	40.161	1.010	1.86e-49
CORO1B	ENSG00000172725.13	47.550	23.209	1.004	1.49e-42
COX20	ENSG00000203667.9	40.969	18.425	1.111	2.80e-44
COX4I2	ENSG00000131055.4	3.100	0.330	1.624	4.93e-71
COX6A1	ENSG00000111775.2	639.100	304.795	1.066	4.56e-61
COX6A2	ENSG00000156885.5	2.460	6.190	-1.055	4.48e-9
COX6B1	ENSG00000126267.8	407.285	148.543	1.449	4.41e-65
COX6B1P4	ENSG00000253813.1	0.000	1.055	-1.039	8.51e-76
COX6C	ENSG00000164919.10	582.170	237.502	1.290	3.06e-60
COX7A2	ENSG00000112695.11	317.364	149.805	1.078	3.75e-45
COX7B	ENSG00000131174.4	168.510	73.211	1.192	4.09e-56
COX7C	ENSG00000127184.10	750.183	309.093	1.276	2.01e-63
COX7CP1	ENSG00000235957.1	0.000	1.532	-1.340	6.12e-13
COX8A	ENSG00000176340.3	396.560	187.065	1.080	2.35e-54
CPD	ENSG00000108582.11	16.511	6.295	1.263	8.17e-23
CPE	ENSG00000109472.13	15.740	4.685	1.558	2.12e-24
CPEB3	ENSG00000107864.14	1.110	3.710	-1.158	7.09e-40
CPED1	ENSG00000106034.17	3.010	7.330	-1.055	2.93e-23
CPQ	ENSG00000104324.15	47.940	14.525	1.656	4.21e-58
CPSF3	ENSG00000119203.13	13.290	5.940	1.042	1.43e-58
CPT1B	ENSG00000205560.12	5.210	13.954	-1.268	5.88e-7
CPVL	ENSG00000106066.13	14.500	2.755	2.045	3.69e-20
CRHBP	ENSG00000145708.10	0.560	16.829	-3.515	3.43e-75
CRIP1	ENSG00000213145.9	26.359	7.010	1.772	1.06e-23
CRNDE	ENSG00000245694.8	4.620	0.500	1.906	2.52e-27
CRNKL1	ENSG00000101343.14	13.850	5.900	1.106	4.78e-63
CROCCP2	ENSG00000282056.1	2.910	7.045	-1.041	5.78e-21
CRP	ENSG00000132693.12	251.671	2792.323	-3.467	1.62e-13
CRTAP	ENSG00000170275.14	47.310	22.299	1.052	1.27e-22
CSAD	ENSG00000139631.18	14.780	44.387	-1.524	5.27e-29
CSE1L	ENSG00000124207.16	21.240	8.830	1.178	3.31e-55
CSF3R	ENSG00000119535.17	1.430	6.905	-1.702	3.81e-27
CSNK2B	ENSG00000204435.13	182.771	79.873	1.184	4.67e-67
CSRNP1	ENSG00000144655.14	7.190	23.779	-1.597	3.50e-31
CSTB	ENSG00000160213.5	62.012	30.300	1.009	3.64e-26
CSTF2	ENSG00000101811.13	4.470	1.560	1.095	1.37e-34
CTB-25B13.12	ENSG00000267317.2	9.200	3.654	1.132	2.22e-49
CTB-50L17.14	ENSG00000267385.1	1.120	5.205	-1.549	6.55e-24
CTB-63M22.1	ENSG00000229119.3	136.882	29.105	2.195	1.57e-20
CTB-79E8.3	ENSG00000253683.1	0.000	2.140	-1.651	3.13e-21
CTB-89H12.4	ENSG00000230551.4	1.400	3.940	-1.041	5.23e-13
CTC-246B18.10	ENSG00000269246.1	5.760	1.865	1.238	2.29e-25
CTC-505O3.2	ENSG00000248709.1	2.900	11.220	-1.648	1.94e-11
CTC-524C5.2	ENSG00000263272.1	0.710	3.425	-1.372	4.47e-21
CTC-529I10.1	ENSG00000275413.1	0.660	3.140	-1.318	2.44e-37
CTD-2240E14.4	ENSG00000267387.1	0.300	2.590	-1.465	3.83e-54
CTD-2537I9.12	ENSG00000267523.1	1.460	8.730	-1.984	1.04e-19
CTD-2540B15.11	ENSG00000267580.1	125.400	57.014	1.124	2.20e-18
CTD-2619J13.27	ENSG00000273901.1	1.410	6.110	-1.561	1.97e-20
CTD-2619J13.5	ENSG00000279611.1	1.390	8.145	-1.936	1.05e-25
CTD-2619J13.8	ENSG00000268230.5	1.950	6.439	-1.334	7.86e-19
CTD-3080P12.3	ENSG00000249201.2	0.440	3.790	-1.734	1.40e-29
CTD-3092A11.2	ENSG00000270055.1	2.470	9.255	-1.563	2.53e-27
CTHRC1	ENSG00000164932.12	2.350	0.245	1.428	3.20e-24
CTNNA1	ENSG00000044115.20	88.812	42.721	1.039	1.10e-43
CTNNBL1	ENSG00000132792.18	45.379	20.990	1.077	2.39e-33
CTSA	ENSG00000064601.16	181.974	53.563	1.746	1.71e-70
CTSC	ENSG00000109861.15	35.961	14.130	1.289	1.43e-20
CTSD	ENSG00000117984.12	769.138	382.084	1.007	1.02e-31
CTSH	ENSG00000103811.15	163.460	77.630	1.065	5.46e-19
CTSS	ENSG00000163131.10	37.281	13.980	1.354	5.87e-11
CUEDC1	ENSG00000180891.12	7.880	3.190	1.084	6.86e-26
CUTA	ENSG00000112514.15	288.894	108.548	1.404	1.34e-74
CXCL10	ENSG00000169245.5	11.720	1.145	2.568	3.36e-23
CXCL12	ENSG00000107562.16	11.660	60.325	-2.276	7.53e-40
CXCL14	ENSG00000145824.12	0.190	14.215	-3.676	7.94e-78
CXCL2	ENSG00000081041.8	18.181	119.784	-2.655	1.51e-45
CXCL9	ENSG00000138755.5	4.180	0.765	1.553	5.77e-14
CXorf36	ENSG00000147113.16	2.250	0.320	1.300	1.83e-66
CYB5R1	ENSG00000159348.12	47.698	20.285	1.194	2.90e-52
CYC1	ENSG00000179091.4	157.324	75.334	1.052	5.84e-48
CYP1A1	ENSG00000140465.13	0.970	4.710	-1.535	1.72e-4
CYP1A2	ENSG00000140505.6	0.480	44.130	-4.930	3.50e-37
CYP21A1P	ENSG00000204338.8	2.250	6.150	-1.137	7.39e-4
CYP21A2	ENSG00000231852.6	5.800	14.850	-1.221	6.93e-7
CYP26A1	ENSG00000095596.11	0.280	4.960	-2.219	5.10e-42
CYP2A6	ENSG00000255974.6	132.862	592.285	-2.148	3.83e-11
CYP2A7	ENSG00000198077.10	1.970	29.830	-3.376	7.48e-14
CYP2B6	ENSG00000197408.8	15.260	76.219	-2.248	3.21e-25
CYP2B7P	ENSG00000256612.7	5.240	14.939	-1.353	1.85e-3
CYP2C19	ENSG00000165841.9	0.330	6.810	-2.554	3.42e-45
CYP2C8	ENSG00000138115.13	85.017	509.168	-2.568	5.79e-27
CYP2C9	ENSG00000138109.9	134.596	470.368	-1.798	1.33e-17
CYP2D7	ENSG00000205702.10	19.040	65.650	-1.734	1.53e-12
CYP2E1	ENSG00000130649.9	500.525	2526.544	-2.333	3.98e-21
CYP39A1	ENSG00000146233.7	3.250	17.415	-2.115	3.87e-28
CYP3A4	ENSG00000160868.14	31.139	386.278	-3.591	1.22e-16
CYP3A43	ENSG00000021461.16	0.750	2.875	-1.147	1.02e-13
CYP3A5	ENSG00000106258.13	100.148	212.607	-1.078	1.23e-5
CYP4A11	ENSG00000187048.12	108.217	299.559	-1.460	1.21e-15
CYP4A22	ENSG00000162365.11	23.290	77.329	-1.689	1.47e-19
CYP7A1	ENSG00000167910.3	10.650	1.939	1.987	7.80e-10
CYP8B1	ENSG00000180432.5	34.489	127.326	-1.854	2.61e-21
CYR61	ENSG00000142871.15	14.110	53.815	-1.859	8.70e-30
CYSTM1	ENSG00000120306.9	72.781	21.570	1.709	6.22e-58
CYTH2	ENSG00000105443.13	23.180	9.760	1.168	2.22e-48
DAD1	ENSG00000129562.10	207.245	96.907	1.089	1.94e-61
DAP3	ENSG00000132676.15	95.378	39.351	1.256	2.69e-68
DAPK2	ENSG00000035664.11	4.370	1.105	1.351	2.77e-40
DARS2	ENSG00000117593.9	10.480	3.105	1.484	3.52e-50
DAXX	ENSG00000204209.10	23.620	10.495	1.099	5.71e-40
DBH	ENSG00000123454.10	0.560	10.785	-2.917	5.04e-99
DBH-AS1	ENSG00000225756.1	5.100	20.855	-1.841	1.48e-21
DBN1	ENSG00000113758.13	4.760	1.490	1.210	5.55e-22
DBNDD1	ENSG00000003249.13	11.410	2.120	1.992	7.68e-36
DBNDD2	ENSG00000244274.7	8.350	3.465	1.066	1.79e-24
DBP	ENSG00000105516.10	18.810	6.130	1.474	2.74e-34
DCAF13	ENSG00000164934.13	17.179	6.265	1.323	4.36e-45
DCDC2	ENSG00000146038.11	2.380	0.620	1.061	3.39e-11
DCK	ENSG00000156136.9	3.950	1.415	1.035	8.38e-27
DCN	ENSG00000011465.16	14.870	101.289	-2.688	1.21e-29
DCTN2	ENSG00000175203.15	55.341	26.620	1.028	6.03e-34
DCTPP1	ENSG00000179958.8	22.201	9.240	1.180	5.91e-53
DDAH2	ENSG00000213722.8	45.041	19.780	1.148	3.31e-31
DDOST	ENSG00000244038.9	104.220	48.816	1.079	1.42e-35
DDX3Y	ENSG00000067048.16	3.680	8.605	-1.037	3.27e-10
DDX41	ENSG00000183258.11	59.511	26.050	1.162	1.64e-69
DEFA1	ENSG00000206047.2	0.090	2.755	-1.784	7.86e-44
DEFA1B	ENSG00000240247.6	0.000	2.350	-1.744	8.92e-47
DEFA3	ENSG00000239839.5	0.000	1.345	-1.230	2.14e-31
DEPTOR	ENSG00000155792.9	9.300	3.985	1.047	4.12e-28
DERL1	ENSG00000136986.9	56.191	26.628	1.050	5.19e-37
DES	ENSG00000175084.11	0.190	2.725	-1.646	3.52e-34
DHFRP1	ENSG00000188985.6	2.310	0.635	1.018	4.52e-10
DHODH	ENSG00000102967.11	14.040	49.561	-1.749	3.99e-44
DHRS7	ENSG00000100612.13	80.309	37.900	1.064	5.29e-22
DHX9	ENSG00000135829.16	41.550	19.855	1.029	8.48e-40
DIO3OS	ENSG00000258498.6	0.410	4.344	-1.922	2.75e-26
DIRAS3	ENSG00000162595.4	0.250	2.305	-1.403	1.29e-38
DLGAP1-AS1	ENSG00000177337.7	7.940	2.765	1.248	3.17e-30
DLGAP5	ENSG00000126787.12	1.410	0.070	1.171	3.76e-38
DLL4	ENSG00000128917.6	3.790	1.165	1.146	6.49e-35
DNAJB11	ENSG00000090520.10	145.411	63.964	1.172	4.51e-58
DNAJC12	ENSG00000108176.14	6.660	21.085	-1.528	1.18e-18
DNAJC19P9	ENSG00000258608.1	2.020	0.425	1.084	5.55e-20
DNASE1L3	ENSG00000163687.13	6.640	39.306	-2.399	3.21e-36
DNASE2	ENSG00000105612.8	32.070	13.445	1.195	5.48e-27
DNHD1	ENSG00000179532.12	1.450	6.529	-1.620	1.38e-17
DNPH1	ENSG00000112667.12	125.600	57.579	1.112	3.92e-46
DOCK5	ENSG00000147459.17	2.040	5.980	-1.199	5.82e-19
DOLK	ENSG00000175283.7	10.080	4.420	1.032	8.50e-57
DPCD	ENSG00000166171.12	7.670	3.150	1.063	3.19e-37
DPH1	ENSG00000108963.17	10.360	22.265	-1.034	1.87e-17
DPM3	ENSG00000179085.7	133.610	60.894	1.121	1.08e-40
DPP3	ENSG00000254986.7	21.580	10.230	1.008	6.32e-37
DPP4	ENSG00000197635.9	19.360	5.345	1.682	3.61e-16
DPT	ENSG00000143196.4	0.550	6.090	-2.194	5.77e-25
DPY30	ENSG00000162961.13	58.651	25.860	1.151	3.29e-71
DRAP1	ENSG00000175550.7	101.391	38.361	1.379	4.29e-83
DRG1	ENSG00000185721.11	40.159	18.460	1.081	7.30e-57
DSN1	ENSG00000149636.15	7.320	2.660	1.185	1.72e-48
DTD1	ENSG00000125821.11	10.720	4.720	1.035	4.28e-20
DTL	ENSG00000143476.17	2.230	0.145	1.496	1.04e-41
DTNA	ENSG00000134769.21	6.140	0.990	1.843	4.13e-27
DTNBP1	ENSG00000047579.19	8.480	3.670	1.021	1.58e-32
DTX1	ENSG00000135144.7	4.030	11.335	-1.294	1.17e-21
DTX4	ENSG00000110042.7	3.770	8.570	-1.005	1.15e-10
DTYMK	ENSG00000168393.12	19.680	7.140	1.345	3.89e-55
DUSP1	ENSG00000120129.5	76.452	213.619	-1.470	6.33e-21
DUSP23	ENSG00000158716.8	131.497	63.760	1.033	3.93e-33
DUSP9	ENSG00000130829.17	2.140	0.270	1.306	1.47e-24
DUXAP8	ENSG00000206195.10	1.890	0.225	1.238	1.59e-27
DYNC1H1	ENSG00000197102.10	65.922	29.810	1.119	3.19e-53
DYNLL1	ENSG00000088986.10	246.304	98.267	1.317	1.33e-55
DYNLRB1	ENSG00000125971.16	145.139	51.949	1.465	1.38e-80
E2F1	ENSG00000101412.12	5.490	0.280	2.342	2.90e-57
EBF4	ENSG00000088881.20	2.550	6.540	-1.087	8.38e-7
ECHDC2	ENSG00000121310.16	148.549	458.109	-1.618	1.73e-42
ECM1	ENSG00000143369.14	2.510	17.755	-2.418	1.30e-63
ECT2	ENSG00000114346.13	3.000	0.610	1.313	4.23e-34
EEF1A1P5	ENSG00000196205.8	63.341	26.253	1.239	2.14e-14
EEF1A1P6	ENSG00000233476.3	11.700	3.450	1.513	1.01e-30
EEF1A2	ENSG00000101210.10	7.090	0.450	2.480	9.75e-14
EEF1D	ENSG00000104529.17	621.107	280.430	1.144	2.20e-43
EEF1G	ENSG00000254772.9	721.421	356.435	1.015	1.20e-44
EFCAB11	ENSG00000140025.15	4.050	1.510	1.009	6.94e-49
EFHD1	ENSG00000115468.11	5.260	17.155	-1.536	2.61e-9
EFNA4	ENSG00000243364.7	8.270	2.885	1.255	2.00e-46
EFTUD2	ENSG00000108883.12	32.139	14.380	1.107	2.23e-57
EGR1	ENSG00000120738.7	18.640	44.085	-1.199	1.97e-11
EHD4	ENSG00000103966.9	9.790	3.770	1.178	6.04e-22
EHMT2	ENSG00000204371.11	23.360	8.135	1.415	1.27e-58
EIF2D	ENSG00000143486.15	30.789	13.130	1.170	1.04e-57
EIF3CL	ENSG00000205609.12	33.160	14.540	1.136	9.35e-38
EIF3D	ENSG00000100353.17	84.829	35.248	1.244	9.48e-55
EIF3E	ENSG00000104408.9	194.253	69.545	1.469	1.00e-45
EIF3H	ENSG00000147677.10	142.754	54.924	1.362	7.81e-48
EIF3K	ENSG00000178982.9	205.429	85.005	1.263	5.18e-70
EIF3M	ENSG00000149100.12	133.963	61.922	1.101	2.64e-48
EIF4BP7	ENSG00000225031.1	1.680	0.340	1.000	3.21e-40
EIF5AP4	ENSG00000234743.1	3.950	0.160	2.093	9.78e-37
EIF6	ENSG00000242372.6	180.305	77.275	1.212	5.07e-65
ELOVL1	ENSG00000066322.12	37.600	17.105	1.092	1.59e-39
ELOVL2	ENSG00000197977.3	17.600	4.335	1.802	7.73e-15
EMC2	ENSG00000104412.7	31.990	14.010	1.136	6.04e-41
EMC3	ENSG00000125037.12	74.279	28.660	1.344	1.83e-55
EMC4	ENSG00000128463.12	77.299	36.715	1.054	5.22e-67
EMCN	ENSG00000164035.9	3.890	1.220	1.139	2.32e-25
EMP1	ENSG00000134531.9	7.720	3.295	1.022	2.12e-6
ENAH	ENSG00000154380.16	10.650	2.805	1.614	2.54e-29
ENGASE	ENSG00000167280.16	5.900	13.544	-1.076	1.47e-4
ENO3	ENSG00000108515.17	11.360	58.100	-2.258	4.36e-29
ENPP2	ENSG00000136960.12	14.990	3.555	1.812	3.56e-22
ENSA	ENSG00000143420.17	109.949	44.470	1.287	1.18e-60
FUCA2	ENSG00000001036.13	34.951	16.730	1.020	1.28e-29
SEMA3F	ENSG00000001617.11	5.440	1.655	1.278	1.43e-50
LASP1	ENSG00000002834.17	64.408	28.585	1.145	4.22e-38
SLC7A2	ENSG00000003989.16	14.440	46.174	-1.611	3.88e-24
PLXND1	ENSG00000004399.12	36.579	15.975	1.147	2.23e-29
LAMP2	ENSG00000005893.15	125.756	60.959	1.033	4.88e-20
TMEM98	ENSG00000006042.11	30.380	7.440	1.895	2.53e-21
TMEM132A	ENSG00000006118.14	2.420	0.575	1.119	1.31e-17
TNFRSF12A	ENSG00000006327.13	46.019	15.247	1.533	8.77e-15
GGCT	ENSG00000006625.17	31.260	13.475	1.156	8.64e-56
GTF2IRD1	ENSG00000006704.10	7.070	2.745	1.108	1.25e-33
IL32	ENSG00000008517.16	748.417	295.250	1.339	1.34e-21
RPS20	ENSG00000008988.9	1550.372	610.077	1.344	9.99e-54
TENM1	ENSG00000009694.13	0.120	1.300	-1.038	5.58e-26
MLXIPL	ENSG00000009950.15	98.700	263.982	-1.410	2.76e-10
METTL13	ENSG00000010165.19	18.000	7.735	1.121	6.04e-57
SEMA3G	ENSG00000010319.6	1.930	0.435	1.030	6.60e-27
SLC6A13	ENSG00000010379.15	2.290	11.890	-1.970	1.19e-28
NME2	ENSG00000011052.21	15.899	5.455	1.389	5.15e-22
SYT7	ENSG00000011347.9	6.730	21.180	-1.521	2.42e-13
PSMC4	ENSG00000013275.7	71.401	32.394	1.116	7.36e-60
SLC25A39	ENSG00000013306.15	125.382	59.779	1.056	2.03e-60
TACC3	ENSG00000013810.18	10.260	3.130	1.447	2.48e-40
POLA2	ENSG00000014138.8	7.170	2.465	1.238	1.69e-50
NPC1L1	ENSG00000015520.14	4.680	13.435	-1.346	1.66e-15
IGF1	ENSG00000017427.15	4.770	12.475	-1.224	9.57e-14
RUFY3	ENSG00000018189.12	6.880	14.950	-1.017	7.58e-15
SLC11A1	ENSG00000018280.16	0.590	2.335	-1.069	5.08e-20
MARCO	ENSG00000019169.10	0.390	19.300	-3.868	4.03e-61
HGF	ENSG00000019991.15	0.790	6.615	-2.089	6.68e-35
SERPINB1	ENSG00000021355.12	26.379	10.953	1.196	4.83e-24
RRAGD	ENSG00000025039.14	8.760	3.255	1.198	1.36e-28
NCAPH2	ENSG00000025770.18	23.710	10.600	1.091	1.53e-48
VIM	ENSG00000026025.13	130.273	52.559	1.293	1.76e-19
RNASET2	ENSG00000026297.15	42.860	17.460	1.248	9.02e-33
GRN	ENSG00000030582.16	187.857	59.719	1.637	6.44e-71
TMSB10	ENSG00000034510.5	859.646	208.556	2.038	1.53e-37
MYOM2	ENSG00000036448.9	0.860	4.635	-1.599	2.62e-37
RPL26L1	ENSG00000037241.7	43.989	19.929	1.104	1.27e-65
FAM65C	ENSG00000042062.11	0.330	7.740	-2.716	8.69e-74
ZIC2	ENSG00000043355.10	1.420	0.010	1.261	2.17e-31
TPR	ENSG00000047410.13	20.000	9.455	1.006	7.29e-31
NEDD4L	ENSG00000049759.16	25.941	11.405	1.119	1.58e-29
HEXB	ENSG00000049860.13	156.096	62.003	1.318	5.25e-66
HOMER3	ENSG00000051128.18	7.300	2.490	1.250	2.80e-23
RAD51	ENSG00000051180.16	1.750	0.235	1.155	6.48e-39
THOC3	ENSG00000051596.9	22.430	9.250	1.193	6.88e-48
PRSS8	ENSG00000052344.15	3.000	10.110	-1.474	3.16e-9
LAMA3	ENSG00000053747.15	3.810	0.880	1.355	1.87e-22
PHPT1	ENSG00000054148.17	99.787	48.509	1.026	2.25e-41
TARBP1	ENSG00000059588.9	14.100	5.620	1.190	5.14e-36
SPAG4	ENSG00000061656.9	6.140	2.210	1.154	1.70e-20
POLD1	ENSG00000062822.12	13.280	4.905	1.274	6.07e-49
SPA17	ENSG00000064199.6	2.840	0.750	1.134	2.96e-32
NGFR	ENSG00000064300.8	1.250	7.695	-1.950	2.04e-36
RFXANK	ENSG00000064490.13	44.099	17.625	1.276	1.95e-58
OAT	ENSG00000065154.11	9.780	26.915	-1.373	7.28e-9
ZNRD1	ENSG00000066379.14	25.930	10.030	1.288	1.05e-59
PKM	ENSG00000067225.17	38.791	13.675	1.439	7.36e-21
RRP15	ENSG00000067533.5	4.320	1.655	1.003	5.88e-26
RHOA	ENSG00000067560.10	154.396	75.585	1.021	1.12e-41
IFI35	ENSG00000068079.7	35.901	15.200	1.188	3.78e-32
GPKOW	ENSG00000068394.10	14.820	6.730	1.033	2.64e-56
PRR11	ENSG00000068489.12	1.370	0.140	1.056	2.78e-35
UFD1L	ENSG00000070010.18	57.039	23.485	1.245	3.98e-58
PABPC1	ENSG00000070756.13	653.570	181.313	1.844	9.41e-59
RPL31	ENSG00000071082.10	1529.028	743.015	1.040	2.85e-40
LMCD1	ENSG00000071282.11	10.450	3.680	1.291	2.04e-21
WBSCR22	ENSG00000071462.11	56.441	25.895	1.095	4.57e-64
TRIP13	ENSG00000071539.13	1.550	0.210	1.075	3.15e-33
FAM50A	ENSG00000071859.14	61.922	25.359	1.255	1.46e-43
HMMR	ENSG00000072571.19	2.540	0.200	1.561	4.19e-43
P4HA2	ENSG00000072682.18	15.899	5.810	1.311	1.88e-35
FCGR2B	ENSG00000072694.18	1.640	9.100	-1.936	7.25e-22
XRCC1	ENSG00000073050.11	13.980	4.955	1.331	6.31e-57
MCM2	ENSG00000073111.13	6.750	0.735	2.159	1.21e-49
SMARCE1	ENSG00000073584.18	49.050	20.464	1.221	1.03e-43
GSDMB	ENSG00000073605.18	9.100	23.562	-1.282	5.33e-6
IGF2BP2	ENSG00000073792.15	2.680	0.680	1.131	2.89e-15
NOTCH3	ENSG00000074181.8	4.320	0.925	1.467	5.02e-30
TEAD2	ENSG00000074219.13	7.460	3.145	1.029	1.47e-13
HACD3	ENSG00000074696.12	47.261	19.230	1.254	2.71e-30
TUBE1	ENSG00000074935.13	4.170	14.245	-1.560	2.56e-55
NUP37	ENSG00000075188.8	10.300	3.445	1.346	1.67e-59
SEC31B	ENSG00000075826.16	1.220	5.160	-1.472	4.60e-23
KIFAP3	ENSG00000075945.12	9.630	3.710	1.174	1.70e-37
MCM6	ENSG00000076003.4	7.880	1.485	1.837	2.31e-49
MCAM	ENSG00000076706.14	14.760	3.970	1.665	3.84e-36
UBE2T	ENSG00000077152.9	8.810	0.695	2.533	9.85e-75
IL4R	ENSG00000077238.13	17.090	36.155	-1.038	2.59e-17
EXOSC5	ENSG00000077348.8	22.461	8.788	1.261	1.15e-60
UBE2A	ENSG00000077721.15	25.029	11.630	1.043	4.00e-40
FBLN1	ENSG00000077942.17	8.620	3.655	1.047	4.88e-7
MAP2	ENSG00000078018.19	3.050	0.965	1.043	8.47e-17
PMS2P1	ENSG00000078319.8	5.080	2.010	1.014	4.84e-48
PAFAH1B3	ENSG00000079462.7	14.810	3.225	1.904	2.54e-43
KCNN2	ENSG00000080709.14	0.250	4.350	-2.098	1.91e-53
NDC80	ENSG00000080986.12	2.910	0.180	1.728	3.06e-52
JMJD4	ENSG00000081692.12	14.750	6.215	1.126	8.15e-59
HSPB11	ENSG00000081870.11	21.910	10.425	1.004	5.79e-49
PLOD1	ENSG00000083444.16	76.388	36.346	1.051	2.95e-32
SLC27A5	ENSG00000083807.9	248.413	497.947	-1.000	5.86e-10
FAT1	ENSG00000083857.13	33.420	11.800	1.427	3.61e-20
HAL	ENSG00000084110.10	20.480	54.784	-1.377	3.89e-14
GCKR	ENSG00000084734.8	22.119	98.499	-2.106	1.31e-37
IGSF9	ENSG00000085552.16	1.640	7.910	-1.755	1.31e-18
TTC39A	ENSG00000085831.15	2.760	0.555	1.274	3.15e-21
FTL	ENSG00000087086.13	11550.758	5723.571	1.013	5.51e-19
